chave_municipal,municipio_cobertura,localizacao_cobertura,afetado_lista_2024_06_11,qtd_movimentacoes_base,creditos_base,ajustes_negativos_base,saldo_liquido_base,qtd_movimentacoes_ate_extrato,saldo_liquido_ate_extrato,situacao_na_base,situacao_comparacao,motivos_investigacao
4316436,Saldanha Marinho,"Saldanha Marinho, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4316600,Sananduva,"Sananduva, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4317103,Sant'Ana do Livramento,"Sant'Ana do Livramento, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4316709,Santa Bárbara do Sul,"Santa Bárbara do Sul, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4316972,Santa Margarida do Sul,"Santa Margarida do Sul, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4316956,Santa Maria do Herval,"Santa Maria do Herval, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4317202,Santa Rosa,"Santa Rosa, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4317400,Santiago,"Santiago, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4317707,Santo Antônio das Missões,"Santo Antônio das Missões, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4317806,Santo Augusto,"Santo Augusto, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4317905,Santo Cristo,"Santo Cristo, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4320206,Seberi,"Seberi, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4320230,Sede Nova,"Sede Nova, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4320354,Sentinela do Sul,"Sentinela do Sul, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4320404,Serafina Corrêa,"Serafina Corrêa, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4320552,Sertão Santana,"Sertão Santana, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
