ordem_fonte,chave_municipal,municipio_fonte,municipio_ibge,data_extrato
329,4315453,Relvado,Relvado,2024-06-11
330,4315503,Restinga Seca,Restinga Sêca,2024-06-11
331,4315552,Rio Dos Índios,Rio dos Índios,2024-06-11
332,4315602,Rio Grande,Rio Grande,2024-06-11
333,4315701,Rio Pardo,Rio Pardo,2024-06-11
334,4315750,Riozinho,Riozinho,2024-06-11
335,4315800,Roca Sales,Roca Sales,2024-06-11
336,4315909,Rodeio Bonito,Rodeio Bonito,2024-06-11
337,4315958,Rolador,Rolador,2024-06-11
338,4316006,Rolante,Rolante,2024-06-11
339,4316105,Ronda Alta,Ronda Alta,2024-06-11
340,4316204,Rondinha,Rondinha,2024-06-11
341,4316303,Roque Gonzales,Roque Gonzales,2024-06-11
342,4316402,Rosário do Sul,Rosário do Sul,2024-06-11
343,4316428,Sagrada Família,Sagrada Família,2024-06-11
344,4316436,Saldanha Marinho,Saldanha Marinho,2024-06-11
345,4316451,Salto do Jacuí,Salto do Jacuí,2024-06-11
346,4316477,Salvador Das Missões,Salvador das Missões,2024-06-11
347,4316501,Salvador do Sul,Salvador do Sul,2024-06-11
348,4316600,Sananduva,Sananduva,2024-06-11
349,4316709,Santa Bárbara do Sul,Santa Bárbara do Sul,2024-06-11
350,4316758,Santa Clara do Sul,Santa Clara do Sul,2024-06-11
351,4316808,Santa Cruz do Sul,Santa Cruz do Sul,2024-06-11
352,4316972,Santa Margarida do Sul,Santa Margarida do Sul,2024-06-11
353,4316907,Santa Maria,Santa Maria,2024-06-11
354,4316956,Santa Maria do Herval,Santa Maria do Herval,2024-06-11
355,4317202,Santa Rosa,Santa Rosa,2024-06-11
356,4317251,Santa Tereza,Santa Tereza,2024-06-11
357,4317301,Santa Vitória do Palmar,Santa Vitória do Palmar,2024-06-11
358,4317004,Santana da Boa Vista,Santana da Boa Vista,2024-06-11
359,4317103,Santana do Livramento,Sant'Ana do Livramento,2024-06-11
360,4317400,Santiago,Santiago,2024-06-11
361,4317509,Santo Ângelo,Santo Ângelo,2024-06-11
362,4317608,Santo Antônio da Patrulha,Santo Antônio da Patrulha,2024-06-11
363,4317707,Santo Antônio Das Missões,Santo Antônio das Missões,2024-06-11
364,4317558,Santo Antônio do Palma,Santo Antônio do Palma,2024-06-11
365,4317806,Santo Augusto,Santo Augusto,2024-06-11
366,4317905,Santo Cristo,Santo Cristo,2024-06-11
367,4317954,Santo Expedito do Sul,Santo Expedito do Sul,2024-06-11
368,4318002,São Borja,São Borja,2024-06-11
369,4318051,São Domingos do Sul,São Domingos do Sul,2024-06-11
370,4318101,São Francisco de Assis,São Francisco de Assis,2024-06-11
