chave_municipal,municipio_cobertura,localizacao_cobertura,afetado_lista_2024_06_11,qtd_movimentacoes_base,creditos_base,ajustes_negativos_base,saldo_liquido_base,qtd_movimentacoes_ate_extrato,saldo_liquido_ate_extrato,situacao_na_base,situacao_comparacao
4305975,Coxilha,"Coxilha, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4306007,Crissiumal,"Crissiumal, Rio Grande do Sul, Brasil",1,1,150000.00,0.00,150000.00,1,150000.00,saldo_positivo,afetado_com_registro
4306056,Cristal,"Cristal, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4306072,Cristal do Sul,"Cristal do Sul, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4306106,Cruz Alta,"Cruz Alta, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4306130,Cruzaltense,"Cruzaltense, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4306205,Cruzeiro do Sul,"Cruzeiro do Sul, Rio Grande do Sul, Brasil",1,3,1596511.63,0.00,1596511.63,2,550000.00,saldo_positivo,afetado_com_registro
4304309,Cândido Godói,"Cândido Godói, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4306304,David Canabarro,"David Canabarro, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,2,350000.00,saldo_positivo,afetado_com_registro
4306320,Derrubadas,"Derrubadas, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4306353,Dezesseis de Novembro,"Dezesseis de Novembro, Rio Grande do Sul, Brasil",1,1,150000.00,0.00,150000.00,0,0.00,saldo_positivo,afetado_com_registro
4306379,Dilermando de Aguiar,"Dilermando de Aguiar, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4306403,Dois Irmãos,"Dois Irmãos, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4306429,Dois Irmãos das Missões,"Dois Irmãos das Missões, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4306452,Dois Lajeados,"Dois Lajeados, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4306502,Dom Feliciano,"Dom Feliciano, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4306601,Dom Pedrito,"Dom Pedrito, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4306551,Dom Pedro de Alcântara,"Dom Pedro de Alcântara, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4306700,Dona Francisca,"Dona Francisca, Rio Grande do Sul, Brasil",1,3,1334883.72,0.00,1334883.72,0,0.00,saldo_positivo,afetado_com_registro
4306734,Doutor Maurício Cardoso,"Doutor Maurício Cardoso, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4306759,Doutor Ricardo,"Doutor Ricardo, Rio Grande do Sul, Brasil",1,3,1334883.72,0.00,1334883.72,2,550000.00,saldo_positivo,afetado_com_registro
4306767,Eldorado do Sul,"Eldorado do Sul, Rio Grande do Sul, Brasil",1,2,2554651.16,0.00,2554651.16,0,0.00,saldo_positivo,afetado_com_registro
4306809,Encantado,"Encantado, Rio Grande do Sul, Brasil",1,3,2119767.44,0.00,2119767.44,1,200000.00,saldo_positivo,afetado_com_registro
4306908,Encruzilhada do Sul,"Encruzilhada do Sul, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,2,350000.00,saldo_positivo,afetado_com_registro
4306924,Engenho Velho,"Engenho Velho, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4306957,Entre Rios do Sul,"Entre Rios do Sul, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4306932,Entre-Ijuís,"Entre-Ijuís, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4306973,Erebango,"Erebango, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4307005,Erechim,"Erechim, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,2,350000.00,saldo_positivo,afetado_com_registro
4307054,Ernestina,"Ernestina, Rio Grande do Sul, Brasil",0,0,0.00,0.00,0.00,0,0.00,sem_registro,nao_listado_sem_registro
4307203,Erval Grande,"Erval Grande, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4307302,Erval Seco,"Erval Seco, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4307401,Esmeralda,"Esmeralda, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4307450,Esperança do Sul,"Esperança do Sul, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,0,0.00,saldo_positivo,afetado_com_registro
4307500,Espumoso,"Espumoso, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4307559,Estação,"Estação, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4307708,Esteio,"Esteio, Rio Grande do Sul, Brasil",1,7,4751162.79,-800000.00,3951162.79,6,550000.00,saldo_positivo,afetado_com_registro
4307807,Estrela,"Estrela, Rio Grande do Sul, Brasil",1,3,2643023.26,0.00,2643023.26,2,550000.00,saldo_positivo,afetado_com_registro
4307815,Estrela Velha,"Estrela Velha, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4307609,Estância Velha,"Estância Velha, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4307831,Eugênio de Castro,"Eugênio de Castro, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4307864,Fagundes Varela,"Fagundes Varela, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,2,350000.00,saldo_positivo,afetado_com_registro
4307906,Farroupilha,"Farroupilha, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,2,350000.00,saldo_positivo,afetado_com_registro
4308003,Faxinal do Soturno,"Faxinal do Soturno, Rio Grande do Sul, Brasil",1,3,1334883.72,0.00,1334883.72,2,550000.00,saldo_positivo,afetado_com_registro
4308052,Faxinalzinho,"Faxinalzinho, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,0,0.00,saldo_positivo,afetado_com_registro
4308078,Fazenda Vilanova,"Fazenda Vilanova, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4308102,Feliz,"Feliz, Rio Grande do Sul, Brasil",1,3,1858139.53,0.00,1858139.53,2,550000.00,saldo_positivo,afetado_com_registro
