"Tabela 6579 - População residente estimada"
"Variável - População residente estimada"
"Nível";"Cód.";"Município";"Ano"
"Nível";"Cód.";"Município";"2024"
"MU";"4314035";"Pareci Novo (RS)";"4433";"Pessoas"
"MU";"4314050";"Parobé (RS)";"53555";"Pessoas"
"MU";"4314068";"Passa Sete (RS)";"4036";"Pessoas"
"MU";"4314076";"Passo do Sobrado (RS)";"6154";"Pessoas"
"MU";"4314100";"Passo Fundo (RS)";"214564";"Pessoas"
"MU";"4314134";"Paulo Bento (RS)";"2188";"Pessoas"
"MU";"4314159";"Paverama (RS)";"8146";"Pessoas"
"MU";"4314175";"Pedras Altas (RS)";"2100";"Pessoas"
"MU";"4314209";"Pedro Osório (RS)";"7634";"Pessoas"
"MU";"4314308";"Pejuçara (RS)";"3819";"Pessoas"
"MU";"4314407";"Pelotas (RS)";"336131";"Pessoas"
"MU";"4314423";"Picada Café (RS)";"5470";"Pessoas"
"MU";"4314456";"Pinhal (RS)";"3034";"Pessoas"
"MU";"4314464";"Pinhal da Serra (RS)";"2299";"Pessoas"
"MU";"4314472";"Pinhal Grande (RS)";"3867";"Pessoas"
"MU";"4314498";"Pinheirinho do Vale (RS)";"4637";"Pessoas"
"MU";"4314506";"Pinheiro Machado (RS)";"11409";"Pessoas"
"MU";"4314548";"Pinto Bandeira (RS)";"2784";"Pessoas"
"MU";"4314555";"Pirapó (RS)";"2260";"Pessoas"
"MU";"4314605";"Piratini (RS)";"17792";"Pessoas"
"MU";"4314704";"Planalto (RS)";"10624";"Pessoas"
"MU";"4314753";"Poço das Antas (RS)";"2222";"Pessoas"
"MU";"4314779";"Pontão (RS)";"3350";"Pessoas"
"MU";"4314787";"Ponte Preta (RS)";"1604";"Pessoas"
"MU";"4314803";"Portão (RS)";"35237";"Pessoas"
"MU";"4314902";"Porto Alegre (RS)";"1389322";"Pessoas"
"MU";"4315008";"Porto Lucena (RS)";"4424";"Pessoas"
"MU";"4315057";"Porto Mauá (RS)";"2176";"Pessoas"
"MU";"4315073";"Porto Vera Cruz (RS)";"1585";"Pessoas"
"MU";"4315107";"Porto Xavier (RS)";"10132";"Pessoas"
"MU";"4315131";"Pouso Novo (RS)";"1773";"Pessoas"
"MU";"4315149";"Presidente Lucena (RS)";"3159";"Pessoas"
"MU";"4315156";"Progresso (RS)";"5430";"Pessoas"
"MU";"4315172";"Protásio Alves (RS)";"2069";"Pessoas"
"MU";"4315206";"Putinga (RS)";"3814";"Pessoas"
"MU";"4315305";"Quaraí (RS)";"23988";"Pessoas"
"MU";"4315313";"Quatro Irmãos (RS)";"1579";"Pessoas"
"MU";"4315321";"Quevedos (RS)";"2555";"Pessoas"
"MU";"4315354";"Quinze de Novembro (RS)";"4000";"Pessoas"
"MU";"4315404";"Redentora (RS)";"9934";"Pessoas"
"MU";"4315453";"Relvado (RS)";"1828";"Pessoas"
"MU";"4315503";"Restinga Sêca (RS)";"15213";"Pessoas"
"MU";"4315552";"Rio dos Índios (RS)";"2874";"Pessoas"
"MU";"4315602";"Rio Grande (RS)";"198958";"Pessoas"
"MU";"4315701";"Rio Pardo (RS)";"35666";"Pessoas"
"MU";"4315750";"Riozinho (RS)";"4572";"Pessoas"
"MU";"4315800";"Roca Sales (RS)";"10644";"Pessoas"
"MU";"4315909";"Rodeio Bonito (RS)";"6821";"Pessoas"
"MU";"4315958";"Rolador (RS)";"2332";"Pessoas"
"MU";"4316006";"Rolante (RS)";"21733";"Pessoas"
"MU";"4316105";"Ronda Alta (RS)";"9972";"Pessoas"
"MU";"4316204";"Rondinha (RS)";"5083";"Pessoas"
"MU";"4316303";"Roque Gonzales (RS)";"6698";"Pessoas"
"MU";"4316402";"Rosário do Sul (RS)";"37700";"Pessoas"
"MU";"4316428";"Sagrada Família (RS)";"2529";"Pessoas"
"MU";"4316436";"Saldanha Marinho (RS)";"2621";"Pessoas"
"MU";"4316451";"Salto do Jacuí (RS)";"10373";"Pessoas"
"MU";"4316477";"Salvador das Missões (RS)";"2953";"Pessoas"
"MU";"4316501";"Salvador do Sul (RS)";"7182";"Pessoas"
"MU";"4316600";"Sananduva (RS)";"16759";"Pessoas"
"MU";"4316709";"Santa Bárbara do Sul (RS)";"8275";"Pessoas"
"MU";"4316733";"Santa Cecília do Sul (RS)";"1710";"Pessoas"
"MU";"4316758";"Santa Clara do Sul (RS)";"7067";"Pessoas"
"MU";"4316808";"Santa Cruz do Sul (RS)";"138104";"Pessoas"
"MU";"4316907";"Santa Maria (RS)";"282244";"Pessoas"
"MU";"4316956";"Santa Maria do Herval (RS)";"6482";"Pessoas"
"MU";"4316972";"Santa Margarida do Sul (RS)";"2658";"Pessoas"
"MU";"4317004";"Santana da Boa Vista (RS)";"7140";"Pessoas"
"MU";"4317103";"Sant'Ana do Livramento (RS)";"87296";"Pessoas"
"MU";"4317202";"Santa Rosa (RS)";"79395";"Pessoas"
"MU";"4317251";"Santa Tereza (RS)";"1531";"Pessoas"
"MU";"4317301";"Santa Vitória do Palmar (RS)";"31961";"Pessoas"
"MU";"4317400";"Santiago (RS)";"50331";"Pessoas"
"MU";"4317509";"Santo Ângelo (RS)";"79130";"Pessoas"
"MU";"4317558";"Santo Antônio do Palma (RS)";"2134";"Pessoas"
"MU";"4317608";"Santo Antônio da Patrulha (RS)";"44393";"Pessoas"
"MU";"4317707";"Santo Antônio das Missões (RS)";"10493";"Pessoas"
"MU";"4317756";"Santo Antônio do Planalto (RS)";"2136";"Pessoas"
"MU";"4317806";"Santo Augusto (RS)";"14196";"Pessoas"
"MU";"4317905";"Santo Cristo (RS)";"15656";"Pessoas"
"MU";"4317954";"Santo Expedito do Sul (RS)";"2395";"Pessoas"
"MU";"4318002";"São Borja (RS)";"61323";"Pessoas"
"MU";"4318051";"São Domingos do Sul (RS)";"2808";"Pessoas"
"MU";"4318101";"São Francisco de Assis (RS)";"17949";"Pessoas"
"MU";"4318200";"São Francisco de Paula (RS)";"22373";"Pessoas"
"MU";"4318309";"São Gabriel (RS)";"60102";"Pessoas"
"MU";"4318408";"São Jerônimo (RS)";"21421";"Pessoas"
"MU";"4318424";"São João da Urtiga (RS)";"4549";"Pessoas"
"MU";"4318432";"São João do Polêsine (RS)";"2707";"Pessoas"
"MU";"4318440";"São Jorge (RS)";"2976";"Pessoas"
"MU";"4318457";"São José das Missões (RS)";"2403";"Pessoas"
"MU";"4318465";"São José do Herval (RS)";"1934";"Pessoas"
"MU";"4318481";"São José do Hortêncio (RS)";"4551";"Pessoas"
"MU";"4318499";"São José do Inhacorá (RS)";"2463";"Pessoas"
"MU";"4318507";"São José do Norte (RS)";"26245";"Pessoas"
"MU";"4318606";"São José do Ouro (RS)";"6978";"Pessoas"
"MU";"4318614";"São José do Sul (RS)";"2440";"Pessoas"
"MU";"4318622";"São José dos Ausentes (RS)";"4286";"Pessoas"
"MU";"4318705";"São Leopoldo (RS)";"225669";"Pessoas"
"MU";"4318804";"São Lourenço do Sul (RS)";"43283";"Pessoas"
"MU";"4318903";"São Luiz Gonzaga (RS)";"35858";"Pessoas"
